bairro,dijkstra_tradicional_m,dijkstra_minheap_m,dijkstra_osmnx_m
Hospital Walfredo Gurgel,0.0,0.0,0.0
Felipe Camarão,7168.481655558125,7168.481655558125,7168.481655558125
Alecrim,3084.259098329603,3084.259098329603,3084.259098329603
Quintas,4174.864127409956,4174.864127409956,4174.864127409956
Cidade da Esperança,5617.45857137954,5617.45857137954,5617.45857137954
Lagoa Nova,2328.8831861577773,2328.8831861577773,2328.8831861577773
Via Costeira,8940.126162687187,8940.126162687187,8940.126162687187
Ponta Negra,12192.168455773646,12192.168455773646,12192.168455773646
Capim Macio,6499.295649725604,6499.295649725604,6499.295649725604
Neópolis,6872.9660125376195,6872.9660125376195,6872.9660125376195
