Lon,Lat,Neighborhood,District
-5.79085,-35.209797,Alecrim,East
-5.796285,-35.19673,Tirol,East
-5.7882624,-35.19032,Areia Preta,East
-5.7805276,-35.204124,Ribeira,East
-5.76782,-35.20072,Santos Reis,East
-5.748964,-35.20584,Redinha,North
-5.742661,-35.216297,Redinha,North
-5.748481,-35.228127,Redinha,North
-5.754423,-35.237206,Potengi,North
-5.759217,-35.248394,Potengi,North
-5.760461,-35.254814,Potengi,North
-5.7542334,-35.26414,N. S. Apresentação,North
-5.744526,-35.269306,N. S. Apresentação,North
-5.7380514,-35.263428,Lagoa Azul,North
-5.7468624,-35.254375,Potengi,North
-5.747809,-35.240707,Pajuçara,North
-5.739572,-35.23749,Pajuçara,North
-5.7333155,-35.251682,Lagoa Azul,North
-5.7244134,-35.265392,Lagoa Azul,North
-5.726139,-35.275055,Lagoa Azul,North
-5.73413,-35.28496,N. S. Apresentação,North
-5.7402797,-35.28447,N. S. Apresentação,North
-5.7491736,-35.279842,N. S. Apresentação,North
-5.758548,-35.28109,N. S. Apresentação,North
-5.7620625,-35.274395,N. S. Apresentação,North
-5.765515,-35.26147,Igapó,North
-5.7988634,-35.23675,Quintas,West
-5.8115807,-35.236343,Bom Pastor,West
-5.8197913,-35.23024,N. Sra. Nazaré,West
-5.8127694,-35.22258,Lagoa Nova,South
-5.8048954,-35.225872,Alecrim,East
-5.8034897,-35.217167,Alecrim,East
-5.8226304,-35.208263,Lagoa Nova,South
-5.8162775,-35.19897,Nova Descoberta,South
-5.8054814,-35.220963,Alecrim,East
-5.803592,-35.24416,Bom Pastor,West
-5.813525,-35.248013,Bom Pastor,West
-5.818177,-35.243366,Felipe Camarão,West
-5.8277054,-35.241066,Cidade da Esperança,West
-5.829802,-35.25176,Felipe Camarão,West
-5.8284974,-35.24401,Cidade Nova,West
-5.8356066,-35.22985,Candelária,South
-5.8343124,-35.213436,Candelária,South
-5.840944,-35.20361,Lagoa Nova,South
-5.858258,-35.20771,Neópolis,South
-5.868887,-35.196632,Capim Macio,South
-5.8808274,-35.19287,Ponta Negra,South
-5.8825483,-35.174557,Ponta Negra,South
-5.891823,-35.17054,Ponta Negra,South
-5.876882,-35.185112,Ponta Negra,South
-5.856752,-35.217484,Candelária,South
-5.8551497,-35.22502,Candelária,South
-5.851415,-35.241776,Pitimbu,South
-5.8461027,-35.255344,Planalto,West
-5.853855,-35.261707,Planalto,West
-5.8541026,-35.250282,Planalto,West
-5.839224,-35.249035,Guarapes,West
-5.834855,-35.26363,Guarapes,West
-5.843988,-35.269077,Guarapes,West
-5.83816,-35.279045,Guarapes,West
-5.827432,-35.27777,Guarapes,West
-5.82068,-35.265945,Felipe Camarão,West
-5.738779,-35.27061,N. S. Apresentação,North
-5.726151,-35.250305,Lagoa Azul,North
-5.7283273,-35.24025,Pajuçara,North
